Geno	Mean_Temp	Diurinal_Range	Isothermality	Temp_Seasonality	Max_Temp	Min_Temp	Temp_Range	Temp_Wettest_Quarter	Temp_Driest_Quarter	Temp_Warmest_Quarter	Temp_Coldest_Quarter	Precipitation	Precip._Wettest_Month	Precip._Driest_Month	Precip_Seasonality	Precip_Wettest_Quarter	Precip_Driest_Quarter	Precip_Warmest_Quarter	Precip_Coldest_Quarter	Full_class
BESC-1028	11.5954999923706	13.5450000762939	47.3270454406738	559.850830078125	29.4479999542236	0.8280000090599059	28.6200008392334	5.4486665725708	18.5706672668457	18.775333404540998	5.15799999237061	1232.0	222.0	9.0	78.2235946655273	631.0	47.0	58.0	586.0	farSouth
BESC-1029	11.3548336029053	13.3683338165283	47.8808517456055	539.260681152344	28.823999404907198	0.9039999842643741	27.9200000762939	5.56400012969971	18.1060009002686	18.3406658172607	5.234000205993651	1298.0	233.0	10.0	77.0514144897461	659.0	52.0	63.0	612.0	farSouth
BESC-103	10.7731666564941	10.7243337631226	43.7656440734863	512.614929199219	25.260000228881804	0.755999982357025	24.503999710082997	5.09200000762939	17.0446662902832	17.1906661987305	4.69799995422363	1396.0	219.0	26.0	59.355411529540994	636.0	116.0	123.0	583.0	Columbia
BESC-1030	11.3548336029053	13.3683338165283	47.8808517456055	539.260681152344	28.823999404907198	0.9039999842643741	27.9200000762939	5.56400012969971	18.1060009002686	18.3406658172607	5.234000205993651	1298.0	233.0	10.0	77.0514144897461	659.0	52.0	63.0	612.0	farSouth
BESC-1031	11.3548336029053	13.3683338165283	47.8808517456055	539.260681152344	28.823999404907198	0.9039999842643741	27.9200000762939	5.56400012969971	18.1060009002686	18.3406658172607	5.234000205993651	1298.0	233.0	10.0	77.0514144897461	659.0	52.0	63.0	612.0	farSouth
BESC-1032	12.247666358947802	14.6700000762939	47.710422515869105	610.9697265625	31.323999404907198	0.575999975204468	30.747999191284197	5.4433331489563	19.9599990844727	19.9773330688477	5.26266670227051	835.0	146.0	9.0	74.75233459472659	421.0	39.0	48.0	390.0	farSouth
BESC-1033	11.639833450317399	14.496333122253402	48.0838966369629	591.5008544921881	30.4680004119873	0.319999992847443	30.1480007171631	5.19733333587646	19.1526660919189	19.233333587646502	4.992000102996831	936.0	165.0	10.0	73.3978805541992	469.0	47.0	54.0	432.0	farSouth
BESC-1034	11.923500061035199	14.512333869934098	47.25297546386721	613.142639160156	30.895999908447298	0.184000000357628	30.7119998931885	5.1020002365112305	19.659999847412102	19.6760005950928	4.90333318710327	798.0	139.0	9.0	72.4908218383789	398.0	41.0	48.0	366.0	farSouth
BESC-1035	12.1873331069946	14.796000480651902	46.8702507019043	633.2862548828119	31.5319995880127	-0.0360000021755695	31.5679988861084	5.04866647720337	20.1593341827393	20.1593341827393	4.87333345413208	703.0	122.0	9.0	71.95091247558591	351.0	38.0	38.0	322.0	farSouth
BESC-1036	11.703833580017099	15.0736665725708	47.5390014648438	621.2857666015619	31.2840003967285	-0.42399999499321	31.7080001831055	4.844666481018071	19.5826663970947	19.659999847412102	4.70800018310547	803.0	139.0	10.0	70.2509841918945	396.0	46.0	52.0	361.0	farSouth
BESC-1037	12.1336669921875	14.9086666107178	47.012699127197294	632.2779541015619	31.635999679565398	-0.0760000050067902	31.7119998931885	5.06333351135254	20.107334136962898	20.156665802002	4.9326667785644505	717.0	123.0	9.0	70.09164428710939	353.0	41.0	47.0	321.0	farSouth
BESC-1038	12.2401666641235	14.8476667404175	46.7790374755859	638.1021728515619	31.747999191284197	0.007999999448657041	31.739999771118196	5.09200000762939	20.275333404540998	20.3339996337891	4.96733331680298	673.0	114.0	9.0	68.78900146484379	329.0	41.0	46.0	298.0	farSouth
BESC-1039	11.949666976928699	14.736000061035199	47.8007011413574	609.1239013671881	31.1079998016357	0.280000001192093	30.827999114990202	5.16400003433228	19.6560001373291	19.6560001373291	4.9520001411438	902.0	161.0	9.0	76.83270263671879	461.0	39.0	39.0	429.0	farSouth
BESC-104	10.7731666564941	10.7243337631226	43.7656440734863	512.614929199219	25.260000228881804	0.755999982357025	24.503999710082997	5.09200000762939	17.0446662902832	17.1906661987305	4.69799995422363	1396.0	219.0	26.0	59.355411529540994	636.0	116.0	123.0	583.0	Columbia
BESC-1040	12.1713333129883	15.4633331298828	48.413692474365206	622.418518066406	31.895999908447298	-0.0439999997615814	31.940000534057603	5.24333333969116	20.0666675567627	20.0666675567627	5.05399990081787	808.0	144.0	9.0	75.316650390625	412.0	39.0	39.0	383.0	farSouth
BESC-1041	11.9221668243408	15.538999557495101	48.6566886901855	616.98779296875	31.7080001831055	-0.22800000011920898	31.9360008239746	5.11199998855591	19.7546653747559	19.783332824707	4.94266700744629	827.0	147.0	9.0	74.35289001464841	420.0	42.0	49.0	390.0	farSouth
BESC-1042	11.878499984741199	15.7183332443237	48.651519775390604	629.393798828125	31.7360000610352	-0.572000026702881	32.3079986572266	4.895333290100099	19.8566665649414	19.8566665649414	4.685333251953121	679.0	118.0	9.0	70.5394744873047	337.0	40.0	40.0	311.0	farSouth
BESC-1043	11.878499984741199	15.7183332443237	48.651519775390604	629.393798828125	31.7360000610352	-0.572000026702881	32.3079986572266	4.895333290100099	19.8566665649414	19.8566665649414	4.685333251953121	679.0	118.0	9.0	70.5394744873047	337.0	40.0	40.0	311.0	farSouth
BESC-1044	11.4040002822876	15.5406665802002	49.1171531677246	610.300842285156	31.011999130249	-0.628000020980835	31.6399993896484	4.788000106811519	19.1453323364258	19.2019996643066	4.526000022888179	747.0	132.0	10.0	71.3141326904297	373.0	44.0	49.0	345.0	farSouth
BESC-1045	11.4040002822876	15.5406665802002	49.1171531677246	610.300842285156	31.011999130249	-0.628000020980835	31.6399993896484	4.788000106811519	19.1453323364258	19.2019996643066	4.526000022888179	747.0	132.0	10.0	71.3141326904297	373.0	44.0	49.0	345.0	farSouth
BESC-1046	11.4040002822876	15.5406665802002	49.1171531677246	610.300842285156	31.011999130249	-0.628000020980835	31.6399993896484	4.788000106811519	19.1453323364258	19.2019996643066	4.526000022888179	747.0	132.0	10.0	71.3141326904297	373.0	44.0	49.0	345.0	farSouth
BESC-1047	9.618332862854	16.0993328094482	46.756893157959006	678.359130859375	30.472000122070302	-3.9600000381469704	34.431999206543004	2.33866667747498	18.2893333435059	18.2893333435059	1.83733332157135	594.0	102.0	10.0	66.9470977783203	290.0	43.0	43.0	272.0	farSouth
BESC-1048	10.4308338165283	17.9370002746582	48.773654937744105	685.3065185546881	32.6840019226074	-4.09200000762939	36.7760009765625	2.90666675567627	18.9780006408691	19.1466674804688	2.4593334197998	596.0	110.0	6.0	77.5321731567383	311.0	33.0	33.0	301.0	farSouth
BESC-1049	9.89599990844727	16.875999450683597	47.8073654174805	672.772521972656	31.2840003967285	-4.01599979400635	35.2999992370605	2.56800007820129	18.300001144409197	18.4426670074463	2.06266689300537	643.0	118.0	7.0	76.183219909668	333.0	36.0	37.0	318.0	farSouth
