SRA_key	Sample_ID
SRR1571019	HOMA-21-5
SRR1571020	HOPG-27-5
SRR1571020	HOPG-27-5
SRR1571021	HOPG-27-5
SRR1571021	HOPG-27-5
SRR1571022	HRSO-27-5
SRR1571022	HRSO-27-5
SRR1571023	KLNA-20-4
SRR1571023	KLNA-20-4
SRR1571024	KTMC-12-3
SRR1571024	KTMC-12-3
SRR1571025	LILA-26-3
SRR1571025	LILA-26-3
SRR1571031	LILB-26-3
SRR1571031	LILB-26-3
SRR1571032	SKWB-24-3
SRR1571032	SKWB-24-3
SRR1571033	SKWD-24-5
SRR1571033	SKWD-24-5
SRR1571034	SKWF-24-5
SRR1571034	SKWF-24-5
SRR1571035	SKWF-24-5
SRR1571035	SKWF-24-5
SRR1571036	SLMD-28-3
SRR1571036	SLMD-28-3
SRR1571038	SQMB-25-4
SRR1571038	SQMB-25-4
SRR1571058	SQMC-25-5
SRR1571058	SQMC-25-5
SRR1571059	VNDL-27-3
SRR1571059	VNDL-27-3
SRR1571080	BESC-806
SRR1571080	BESC-806
SRR1571102	BESC-807
SRR1571102	BESC-807
SRR1571104	BESC-819
SRR1571104	BESC-819
SRR1571125	BESC-825
SRR1571125	BESC-825
SRR1571127	BESC-842
SRR1571127	BESC-842
SRR1571148	BESC-843
SRR1571148	BESC-843
SRR1571149	BESC-853
SRR1571149	BESC-853
SRR1571150	BESC-853
SRR1571150	BESC-853
SRR1571151	BESC-870
SRR1571151	BESC-870
SRR1571152	BESC-873
SRR1571152	BESC-873
SRR1571184	BESC-874
SRR1571184	BESC-874
SRR1571199	BESC-878
SRR1571199	BESC-878
SRR1571208	GW-4610
SRR1571208	GW-4610
SRR1571215	GW-7983
SRR1571215	GW-7983
SRR1571216	GW-9578
SRR1571216	GW-9578
SRR1571217	GW-9589
SRR1571217	GW-9589
SRR1571218	GW-9591
SRR1571218	GW-9591
SRR1571219	GW-9597
SRR1571219	GW-9597
SRR1571220	GW-9765
SRR1571220	GW-9765
SRR1571221	GW-9765
SRR1571221	GW-9765
SRR1571222	GW-9770
SRR1571222	GW-9770
SRR1571223	GW-9779
SRR1571223	GW-9779
SRR1571224	GW-10983
SRR1571224	GW-10983
SRR1571225	GW-11041
SRR1571225	GW-11041
SRR1571226	GW-9797
SRR1571226	GW-9797
SRR1571227	GW-9801
SRR1571227	GW-9801
SRR1571228	GW-9962
SRR1571228	GW-9962
SRR1571229	GW-9967
SRR1571229	GW-9967
SRR1571230	GW-9967
SRR1571230	GW-9967
SRR1571232	GW-9969
SRR1571232	GW-9969
SRR1571235	GW-9970
SRR1571235	GW-9970
SRR1571236	BESC-1
SRR1571236	BESC-1
SRR1571237	BESC-8
SRR1571237	BESC-8
SRR1571238	BESC-11
SRR1571238	BESC-11
SRR1571239	BESC-17
SRR1571239	BESC-17
SRR1571240	BESC-18
SRR1571240	BESC-18
SRR1571241	BESC-20
SRR1571241	BESC-20
SRR1571242	BESC-28
SRR1571242	BESC-28
SRR1571246	BESC-33
SRR1571246	BESC-33
SRR1571247	BESC-35
SRR1571247	BESC-35
SRR1571248	BESC-36
SRR1571248	BESC-36
SRR1571249	BESC-47
SRR1571249	BESC-47
SRR1571262	BESC-48
SRR1571262	BESC-48
SRR1571263	BESC-56
SRR1571263	BESC-56
SRR1571264	BESC-59
SRR1571264	BESC-59
SRR1571265	BESC-61
SRR1571265	BESC-61
SRR1571266	BESC-69
SRR1571266	BESC-69
SRR1571267	BESC-69
SRR1571267	BESC-69
SRR1571268	BESC-76
SRR1571268	BESC-76
SRR1571269	BESC-77
SRR1571269	BESC-77
SRR1571270	BESC-78
SRR1571270	BESC-78
SRR1571271	BESC-83
SRR1571271	BESC-83
SRR1571272	BESC-88
SRR1571272	BESC-88
SRR1571273	BESC-91
SRR1571273	BESC-91
SRR1571274	BESC-108
SRR1571274	BESC-108
SRR1571275	BESC-110
SRR1571275	BESC-110
SRR1571276	BESC-92
SRR1571276	BESC-92
SRR1571304	BESC-127
SRR1571304	BESC-127
SRR1571305	BESC-128
SRR1571305	BESC-128
SRR1571306	BESC-131
SRR1571306	BESC-131
SRR1571307	BESC-141
SRR1571307	BESC-141
SRR1571308	BESC-141
SRR1571308	BESC-141
SRR1571309	BESC-153
SRR1571309	BESC-153
SRR1571310	BESC-153
SRR1571310	BESC-153
SRR1571311	BESC-156
SRR1571311	BESC-156
SRR1571312	BESC-159
SRR1571312	BESC-159
SRR1571313	BESC-160
SRR1571313	BESC-160
SRR1571314	BESC-165
SRR1571314	BESC-165
SRR1571315	BESC-167
SRR1571315	BESC-167
SRR1571316	BESC-178
SRR1571316	BESC-178
SRR1571317	BESC-178
SRR1571317	BESC-178
SRR1571318	BESC-188
SRR1571318	BESC-188
SRR1571319	BESC-188
SRR1571319	BESC-188
SRR1571320	BESC-198
SRR1571320	BESC-198
SRR1571323	BESC-200
SRR1571323	BESC-200
SRR1571332	BESC-217
SRR1571332	BESC-217
SRR1571333	BESC-235
SRR1571333	BESC-235
SRR1571334	BESC-235
SRR1571334	BESC-235
SRR1571335	BESC-238
SRR1571335	BESC-238
SRR1571336	BESC-245
SRR1571336	BESC-245
SRR1571337	BESC-247
SRR1571337	BESC-247
SRR1571338	BESC-248
SRR1571338	BESC-248
SRR1571339	BESC-251
SRR1571339	BESC-251
SRR1571340	BESC-253
SRR1571340	BESC-253
SRR1571342	BESC-254
SRR1571342	BESC-254
SRR1571343	BESC-262
SRR1571343	BESC-262
SRR1571344	BESC-264
SRR1571344	BESC-264
SRR1571345	BESC-264
SRR1571345	BESC-264
SRR1571346	BESC-268
SRR1571346	BESC-268
SRR1571361	BESC-270
SRR1571361	BESC-270
SRR1571362	BESC-281
SRR1571362	BESC-281
SRR1571363	BESC-285
SRR1571363	BESC-285
SRR1571364	BESC-304
SRR1571364	BESC-304
SRR1571365	BESC-305
SRR1571365	BESC-305
SRR1571366	BESC-307
SRR1571366	BESC-307
SRR1571367	BESC-309
SRR1571367	BESC-309
SRR1571368	BESC-312
SRR1571368	BESC-312
SRR1571369	BESC-312
SRR1571369	BESC-312
SRR1571370	BESC-311
SRR1571370	BESC-311
SRR1571371	BESC-322
SRR1571371	BESC-322
SRR1571372	BESC-333
SRR1571372	BESC-333
SRR1571373	BESC-336
SRR1571373	BESC-336
SRR1571374	BESC-339
SRR1571374	BESC-339
SRR1571393	BESC-345
SRR1571393	BESC-345
SRR1571394	BESC-352
SRR1571394	BESC-352
SRR1571395	BESC-356
SRR1571395	BESC-356
SRR1571396	BESC-359
SRR1571396	BESC-359
SRR1571397	BESC-374
SRR1571397	BESC-374
SRR1571398	BESC-377
SRR1571398	BESC-377
SRR1571399	BESC-377
SRR1571399	BESC-377
SRR1571400	BESC-381
SRR1571400	BESC-381
SRR1571401	BESC-385
SRR1571401	BESC-385
SRR1571402	BESC-393
SRR1571402	BESC-393
SRR1571403	BESC-403
SRR1571403	BESC-403
SRR1571404	BESC-406
SRR1571404	BESC-406
SRR1571405	BESC-413
SRR1571405	BESC-413
SRR1571406	BESC-413
SRR1571406	BESC-413
SRR1571407	BESC-421
SRR1571407	BESC-421
SRR1571408	BESC-425
SRR1571408	BESC-425
SRR1571409	BESC-450
SRR1571409	BESC-450
SRR1571410	BESC-451
SRR1571410	BESC-451
SRR1571411	BESC-463
SRR1571411	BESC-463
SRR1571412	BESC-463
SRR1571412	BESC-463
SRR1571413	BESC-470
SRR1571413	BESC-470
SRR1571414	BESC-804
SRR1571414	BESC-804
SRR1571415	BESC-813
SRR1571415	BESC-813
SRR1571416	BESC-840
SRR1571416	BESC-840
SRR1571417	BESC-841
SRR1571417	BESC-841
SRR1571418	BESC-847
SRR1571418	BESC-847
SRR1571419	BESC-847
SRR1571419	BESC-847
SRR1571420	BESC-848
SRR1571420	BESC-848
SRR1571421	BESC-848
SRR1571421	BESC-848
SRR1571422	BESC-850
SRR1571422	BESC-850
SRR1571423	BESC-852
SRR1571423	BESC-852
SRR1571424	BESC-854
SRR1571424	BESC-854
SRR1571427	BESC-862
SRR1571427	BESC-862
SRR1571428	BESC-864
SRR1571428	BESC-864
SRR1571429	BESC-872
SRR1571429	BESC-872
SRR1571430	BESC-881
SRR1571430	BESC-881
SRR1571431	BESC-881
SRR1571431	BESC-881
SRR1571432	BESC-884
SRR1571432	BESC-884
SRR1571433	BESC-899
SRR1571433	BESC-899
SRR1571434	BESC-907
SRR1571434	BESC-907
SRR1571435	CA-01-02
SRR1571435	CA-01-02
SRR1571436	CA-01-03
SRR1571436	CA-01-03
SRR1571437	CA-02-03
SRR1571437	CA-02-03
SRR1571438	CA-02-03
SRR1571438	CA-02-03
SRR1571439	CA-02-04
SRR1571439	CA-02-04
SRR1571440	CA-04-03
SRR1571440	CA-04-03
SRR1571441	CA-05-03
SRR1571441	CA-05-03
SRR1571445	GW-7973
SRR1571445	GW-7973
SRR1571446	GW-7977
SRR1571446	GW-7977
SRR1571447	GW-7990
SRR1571447	GW-7990
SRR1571448	GW-7976
SRR1571448	GW-7976
SRR1571479	GW-7991
SRR1571479	GW-7991
SRR1571480	GW-7996
SRR1571480	GW-7996
SRR1571481	GW-7993
SRR1571481	GW-7993
SRR1571482	GW-9579
SRR1571482	GW-9579
SRR1571483	GW-9580
SRR1571483	GW-9580
SRR1571484	GW-9581
SRR1571484	GW-9581
SRR1571485	GW-9581
SRR1571485	GW-9581
SRR1571489	GW-9587
SRR1571489	GW-9587
SRR1571496	GW-9588
SRR1571496	GW-9588
SRR1571497	GW-9595
SRR1571497	GW-9595
SRR1571499	GW-9596
SRR1571499	GW-9596
SRR1571500	GW-9598
SRR1571500	GW-9598
SRR1571516	GW-9763
SRR1571516	GW-9763
SRR1571517	GW-9771
SRR1571517	GW-9771
SRR1571518	GW-9772
SRR1571518	GW-9772
SRR1571526	GW-9774
SRR1571526	GW-9774
SRR1571527	GW-9776
SRR1571527	GW-9776
SRR1571528	GW-9785
SRR1571528	GW-9785
SRR1571529	GW-9786
SRR1571529	GW-9786
SRR1571530	GW-9787
SRR1571530	GW-9787
SRR1571531	GW-9788
SRR1571531	GW-9788
SRR1571532	GW-9792
SRR1571532	GW-9792
SRR1571533	GW-9793
SRR1571533	GW-9793
SRR1571534	GW-9796
SRR1571534	GW-9796
SRR1571535	GW-9799
SRR1571535	GW-9799
SRR1571536	GW-9804
SRR1571536	GW-9804
SRR1571537	GW-9809
SRR1571537	GW-9809
SRR1571552	GW-9920
SRR1571552	GW-9920
SRR1571553	GW-9947
SRR1571553	GW-9947
SRR1571568	GW-9948
SRR1571568	GW-9948
SRR1571569	GW-9952
SRR1571569	GW-9952
SRR1571570	GW-9953
SRR1571570	GW-9953
SRR1571571	GW-9955
SRR1571571	GW-9955
SRR1571572	GW-9959
SRR1571572	GW-9959
SRR1571573	GW-9963
SRR1571573	GW-9963
SRR1571574	GW-9964
SRR1571574	GW-9964
SRR1592619	BESC-435
SRR1592619	BESC-435
SRR1592620	BESC-435
SRR1592620	BESC-435
SRR1592734	BESC-398
SRR1592734	BESC-398
SRR1759586	BESC-103
SRR1759586	BESC-103
SRR1759587	BESC-129
SRR1759587	BESC-129
SRR1759588	BESC-152
SRR1759588	BESC-152
SRR1759589	BESC-152
SRR1759589	BESC-152
SRR1759590	BESC-464
SRR1759590	BESC-464
SRR1759591	BESC-464
SRR1759591	BESC-464
SRR1759770	BESC-163
SRR1759770	BESC-163
SRR1759771	BESC-196
SRR1759771	BESC-196
SRR1759772	BESC-461
SRR1759772	BESC-461
SRR1759773	BESC-461
SRR1759773	BESC-461
SRR1759775	CA-01-01
SRR1759775	CA-01-01
SRR1759776	CA-01-01
SRR1759776	CA-01-01
SRR1759777	CA-01-01
SRR1759777	CA-01-01
SRR1759778	CA-01-01
SRR1759778	CA-01-01
SRR1759779	CA-01-01
SRR1759779	CA-01-01
SRR1759780	BESC-811
SRR1759780	BESC-811
SRR1759782	BESC-814
SRR1759782	BESC-814
SRR1759783	BESC-303
SRR1759783	BESC-303
SRR1759784	BESC-303
SRR1759784	BESC-303
SRR1759859	BESC-314
SRR1759859	BESC-314
SRR1759860	BESC-314
SRR1759860	BESC-314
SRR1759861	BESC-314
SRR1759861	BESC-314
SRR1759862	BESC-314
SRR1759862	BESC-314
SRR1759873	BESC-318
SRR1759873	BESC-318
SRR1759874	BESC-319
SRR1759874	BESC-319
SRR1759875	BESC-332
SRR1759875	BESC-332
SRR1759877	BESC-846
SRR1759877	BESC-846
SRR1759878	BESC-338
SRR1759878	BESC-338
SRR1759879	BESC-349
SRR1759879	BESC-349
SRR1759923	BESC-351
SRR1759923	BESC-351
SRR1759944	BESC-863
SRR1759944	BESC-863
SRR1759945	BESC-863
SRR1759945	BESC-863
SRR1759946	BESC-384
SRR1759946	BESC-384
SRR1759948	BESC-871
SRR1759948	BESC-871
SRR1759949	BESC-871
SRR1759949	BESC-871
SRR1759950	BESC-879
SRR1759950	BESC-879
SRR1759951	BESC-879
SRR1759951	BESC-879
SRR1759952	BESC-803
SRR1759952	BESC-803
SRR1759953	BESC-466
SRR1759953	BESC-466
SRR1759954	BESC-466
SRR1759954	BESC-466
SRR1759955	BESC-887
SRR1759955	BESC-887
SRR1759956	BESC-833
SRR1759956	BESC-833
SRR1760006	BESC-869
SRR1760006	BESC-869
SRR1760010	BESC-876
SRR1760010	BESC-876
SRR1760014	BESC-467
SRR1760014	BESC-467
SRR1760015	BESC-467
SRR1760015	BESC-467
SRR1761805	BESC-898
SRR1761805	BESC-898
SRR1761806	BESC-898
SRR1761806	BESC-898
SRR1761826	BESC-909
SRR1761826	BESC-909
SRR1761842	CA-04-01
SRR1761842	CA-04-01
SRR1761854	FNYI-28-2
SRR1761854	FNYI-28-2
SRR1761855	HOMD-21-1
SRR1761855	HOMD-21-1
SRR1761856	HRSO-27-2
SRR1761856	HRSO-27-2
SRR1761857	BESC-805
SRR1761857	BESC-805
SRR1761858	BESC-805
SRR1761858	BESC-805
SRR1761859	LILD-26-4
SRR1761859	LILD-26-4
SRR1761860	SKWE-24-3
SRR1761860	SKWE-24-3
SRR1761929	SLMC-28-1
SRR1761929	SLMC-28-1
SRR1761930	BESC-465
SRR1761930	BESC-465
SRR1761931	BESC-465
SRR1761931	BESC-465
SRR1762000	YALE-27-1
SRR1762000	YALE-27-1
SRR1762001	BESC-273
SRR1762001	BESC-273
SRR1762002	BESC-273
SRR1762002	BESC-273
SRR1762021	GW-9577
SRR1762021	GW-9577
SRR1762022	GW-9577
SRR1762022	GW-9577
SRR1762038	GW-9594
SRR1762038	GW-9594
SRR1762039	GW-9594
SRR1762039	GW-9594
SRR1762040	GW-9767
SRR1762040	GW-9767
SRR1762041	GW-9767
SRR1762041	GW-9767
SRR1762042	GW-9789
SRR1762042	GW-9789
SRR1762043	GW-9789
SRR1762043	GW-9789
SRR1762044	BESC-105
SRR1762044	BESC-105
SRR1762045	BESC-105
SRR1762045	BESC-105
SRR1762078	GW-9916
SRR1762078	GW-9916
SRR1762097	GW-9950
SRR1762097	GW-9950
SRR1762098	GW-10957
SRR1762098	GW-10957
SRR1762102	GW-10993
SRR1762102	GW-10993
SRR1762103	BESC-828
SRR1762103	BESC-828
SRR1762120	BESC-154
SRR1762120	BESC-154
SRR1762139	BESC-155
SRR1762139	BESC-155
SRR1762140	BESC-162
SRR1762140	BESC-162
SRR1762141	BESC-162
SRR1762141	BESC-162
SRR1762161	BESC-170
SRR1762161	BESC-170
SRR1762162	BESC-176
SRR1762162	BESC-176
SRR1762200	BESC-179
SRR1762200	BESC-179
SRR1762201	BESC-183
SRR1762201	BESC-183
SRR1762202	BESC-186
SRR1762202	BESC-186
SRR1762254	BESC-189
SRR1762254	BESC-189
SRR1762255	BESC-189
SRR1762255	BESC-189
SRR1762256	BESC-205
SRR1762256	BESC-205
SRR1762257	BESC-205
SRR1762257	BESC-205
SRR1762281	BESC-207
SRR1762281	BESC-207
SRR1762282	BESC-220
SRR1762282	BESC-220
SRR1762283	BESC-222
SRR1762283	BESC-222
SRR1762284	BESC-226
SRR1762284	BESC-226
SRR1762304	SKWB-24-2
SRR1762304	SKWB-24-2
